M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
0.17126325180981894,164.64994406010635,Q,True,901,,9,1,MURO
-1.6349413214156954,132.7735894250859,Q,True,902,,9,2,MURO
3.0644576354838335,98.68158010582968,Q,True,903,,9,3,MURO
-25.409812678729978,24.45592146646313,Q,True,904,,9,4,MURO
-7.120218340052023,-24.854140569641427,Q,True,905,,9,5,MURO
-2.684506142648573,239.84905769096343,Q,True,1002,,10,2,MURO
-37.318124562893445,178.2635006542645,Q,True,1003,,10,3,MURO
-85.42802031971067,44.17844005262485,Q,True,1004,,10,4,MURO
-477.5851992894892,-27.33771817644203,Q,True,1005,,10,5,MURO
0.15701440305244319,150.95240954170802,Q,True,1101,,11,1,MURO
-1.4989318396718545,121.72791015182224,Q,True,1102,,11,2,MURO
2.8095219325071525,90.47207714801554,Q,True,1103,,11,3,MURO
-23.295923941735772,22.421389028796785,Q,True,1104,,11,4,MURO
-28.68699094879826,7.815970093361102e-14,Q,True,1105,,11,5,MURO
0.15701510589694578,150.95241103473168,Q,True,1201,,12,1,MURO
-1.4989297447590957,121.72790892822954,Q,True,1202,,12,2,MURO
2.809522131677454,90.47207748316444,Q,True,1203,,12,3,MURO
-23.295923518091776,22.421390182401133,Q,True,1204,,12,4,MURO
-21.115656335014133,27.337718176442145,Q,True,1205,,12,5,MURO
0.3372808571024848,324.26815313813324,Q,True,1301,,13,1,MURO
-3.2199137101851534,261.4895852497022,Q,True,1302,,13,2,MURO
6.035253832060519,194.3474345045332,Q,True,1303,,13,3,MURO
-397.08920247089543,380.530879689398,Q,True,1304,,13,4,MURO
228.94178850378697,178.8770233650835,Q,True,1305,,13,5,MURO
-4.253800671068021,152.0705794407993,Q,True,1401,,14,1,MURO
-1.372528986766504,122.62959735210787,Q,True,1402,,14,2,MURO
-19.079942471985348,91.14224117494194,Q,True,1403,,14,3,MURO
-43.677482450226634,22.58747305711516,Q,True,1404,,14,4,MURO
-184.0227694920764,-5.488766167212987,Q,True,1405,,14,5,MURO
0.0918794823290554,88.33511625187433,Q,True,1501,,15,1,MURO
-0.8771511259753453,71.23336868938482,Q,True,1502,,15,2,MURO
1.644090707471502,52.9429193734676,Q,True,1503,,15,3,MURO
-13.632429010810846,13.120663760479934,Q,True,1504,,15,4,MURO
-7.907405771266981,-22.69353207205696,Q,True,1505,,15,5,MURO
0.09187980764441761,88.3351161883561,Q,True,1601,,16,1,MURO
-0.8771511313314946,71.2333687513039,Q,True,1602,,16,2,MURO
1.6440907883103897,52.94291964062877,Q,True,1603,,16,3,MURO
-13.632430310527145,13.120665106588314,Q,True,1604,,16,4,MURO
-21.729108122595143,28.182298239269993,Q,True,1605,,16,5,MURO
-3.5031302238711106,125.23459059284285,Q,True,1701,,17,1,MURO
83.22196607820503,149.10117542345301,Q,True,1801,,18,1,MURO
-22.285979805231037,201.8608538537111,Q,True,1901,,19,1,MURO
-264.0313779306066,568.7537812095597,Q,True,2001,,20,1,MURO
-503.8344138058329,370.9841479331748,Q,True,2101,,21,1,MURO
-510.3647453615618,227.24916069155822,Q,True,2201,,22,1,MURO
677.7753504475759,455.4517063564833,Q,True,2302,,23,2,MURO
-130.12546015138855,394.18613051869687,Q,True,2402,,24,2,MURO
0.08695338068791614,-25.849951331747704,EX,True,101,,1,1,MURO
-1.3184531034887392,-23.76343071391344,EX,True,102,,1,2,MURO
